CountryCode,ProvinceCode,ProvinceName,City,Lat,Lon
JP,JP-01,北海道,札幌市,43.06417,141.34694
JP,JP-02,青森県,青森市,40.82444,140.74
JP,JP-03,岩手県,盛岡市,39.70361,141.1525
JP,JP-04,宮城県,仙台市,38.26889,140.87194
JP,JP-05,秋田県,秋田市,39.71861,140.1025
JP,JP-06,山形県,山形市,38.24056,140.36333
JP,JP-07,福島県,福島市,37.75,140.46778
JP,JP-08,茨城県,水戸市,36.34139,140.44667
JP,JP-09,栃木県,宇都宮市,36.56583,139.88361
JP,JP-10,群馬県,前橋市,36.39111,139.06083
JP,JP-11,埼玉県,さいたま市,35.85694,139.64889
JP,JP-12,千葉県,千葉市,35.60472,140.12333
JP,JP-13,東京都,新宿区,35.68944,139.69167
JP,JP-14,神奈川県,横浜市,35.44778,139.6425
JP,JP-15,新潟県,新潟市,37.90222,139.02361
JP,JP-16,富山県,富山市,36.69528,137.21139
JP,JP-17,石川県,金沢市,36.59444,136.62556
JP,JP-18,福井県,福井市,36.06528,136.22194
JP,JP-19,山梨県,甲府市,35.66389,138.56833
JP,JP-20,長野県,長野市,36.65139,138.18111
JP,JP-21,岐阜県,岐阜市,35.39111,136.72222
JP,JP-22,静岡県,静岡市,34.97694,138.38306
JP,JP-23,愛知県,名古屋市,35.18028,136.90667
JP,JP-24,三重県,津市,34.73028,136.50861
JP,JP-25,滋賀県,大津市,35.00444,135.86833
JP,JP-26,京都府,京都市,35.02139,135.75556
JP,JP-27,大阪府,大阪市,34.68639,135.52
JP,JP-28,兵庫県,神戸市,34.69139,135.18306
JP,JP-29,奈良県,奈良市,34.68528,135.83278
JP,JP-30,和歌山県,和歌山市,34.22611,135.1675
JP,JP-31,鳥取県,鳥取市,35.50361,134.23833
JP,JP-32,島根県,松江市,35.47222,133.05056
JP,JP-33,岡山県,岡山市,34.66167,133.935
JP,JP-34,広島県,広島市,34.39639,132.45944
JP,JP-35,山口県,山口市,34.18583,131.47139
JP,JP-36,徳島県,徳島市,34.06583,134.55944
JP,JP-37,香川県,高松市,34.34028,134.04333
JP,JP-38,愛媛県,松山市,33.84167,132.76611
JP,JP-39,高知県,高知市,33.55972,133.53111
JP,JP-40,福岡県,福岡市,33.60639,130.41806
JP,JP-41,佐賀県,佐賀市,33.24944,130.29889
JP,JP-42,長崎県,長崎市,32.74472,129.87361
JP,JP-43,熊本県,熊本市,32.78972,130.74167
JP,JP-44,大分県,大分市,33.23806,131.6125
JP,JP-45,宮崎県,宮崎市,31.91111,131.42389
JP,JP-46,鹿児島県,鹿児島市,31.56028,130.55806
JP,JP-47,沖縄県,那覇市,26.2125,127.68111
IS,IS,アイスランド,レイキャビク,64.1462044,-21.9424373
IE,IE,アイルランド,ダブリン,53.3439636,-6.2670798
AZ,AZ,アゼルバイジャン,バクー,40.3670397,49.8320385
AF,AF,アフガニスタン,カブール,34.5210955,69.1736723
US,US,アメリカ（米国）,ワシントンD.C.,38.8954503,-77.0158701
AE,AE,アラブ首長国連邦,アブダビ,24.487729,54.3787498
DZ,DZ,アルジェリア,アルジェ,36.7762431,3.0577373
AR,AR,アルゼンチン,ブエノスアイレス,-34.6081414,-58.3737025
AL,AL,アルバニア,ティラナ,41.3274082,19.8193172
AM,AM,アルメニア,エレバン,40.1746332,44.5040456
AO,AO,アンゴラ,ルアンダ,-8.8179857,13.2358495
AG,AG,アンティグア・バーブーダ,セントジョンズ,17.1181446,-61.8339573
AD,AD,アンドラ,アンドララベラ,42.5073868,1.5220151
YE,YE,イエメン,サヌア,15.3558942,44.2063384
GB,GB,イギリス（英国）,ロンドン,51.504827,-0.0786264
IL,IL,イスラエル,エルサレム,31.7808516,35.2238524
IT,IT,イタリア,ローマ,41.8930546,12.4834738
IQ,IQ,イラク,バグダッド,33.335064,44.4047534
IR,IR,イラン,テヘラン,35.6812409,51.414932
IN,IN,インド,デリー,28.6720669,77.2207318
ID,ID,インドネシア,ジャカルタ,-6.1815787,106.8283893
UG,UG,ウガンダ,カンパラ,0.3149631,32.5862304
UA,UA,ウクライナ,キーウ,50.446306,30.520272
UZ,UZ,ウズベキスタン,タシケント,41.3108248,69.2492835
UY,UY,ウルグアイ,モンテビデオ,-34.9062357,-56.1861229
EC,EC,エクアドル,キト,-0.220366,-78.5115271
EG,EG,エジプト,カイロ,30.0448511,31.2449268
EE,EE,エストニア,タリン,59.4369974,24.745231
SZ,SZ,エスワティニ,ムババーネ,-26.3265115,31.1446825
ET,ET,エチオピア,アディスアベバ,9.0346684,38.7508585
ER,ER,エリトリア,アスマラ,15.3363425,38.9420405
